,cell_number,concave_regularity,brittleness,sample
AK090T_62,3.98898404656427,0.446391919820285,0.92503386196784,AK090T
AK090T_63,4.40671924726425,0.464441901847388,0.940159493640141,AK090T
AK090T_64,3.95124371858143,0.274799208013381,0.846017822542033,AK090T
AK090T_65,3.85014760171006,0.195404881188892,0.818598168561258,AK090T
AK090T_66,4.18965474202643,0.342376826924654,0.730844963725476,AK090T
AK090T_67,4.36944785246702,0.285242990329675,0.816794801804311,AK090T
AK090T_68,4.26267987704132,0.356406959583255,0.822882407139718,AK090T
AK090T_69,4.15888308335967,0.0281748526973114,0.81754805106313,AK090T
AK090T_70,3.97029191355212,0.277222200682359,0.789559364463785,AK090T
AK090T_71,4.04305126783455,0.163730640984364,0.774276070851739,AK090T
AK090T_72,3.52636052461616,0.0611428301694503,0.712306050488286,AK090T
AK090T_73,4.20469261939097,0.424060988932989,0.881462019257739,AK090T
AK090T_74,4.29045944114839,0.553126470760159,0.909085240398617,AK090T
AK090T_75,3.58351893845611,0.299865215030929,0.807178323515978,AK090T
AK090T_76,4.15888308335967,0.493176911719553,0.941587516852119,AK090T
AK090T_77,4.15888308335967,0.490328455607755,0.923208992994897,AK090T
AK090T_78,3.61091791264422,0.256284904184171,0.68414593653534,AK090T
AK090T_79,4.4188406077966,0.564579874873703,0.901476847253224,AK090T
AK090T_80,4.27666611901606,0.558026190826665,0.880695083415219,AK090T
AK090T_81,3.73766961828337,0.150446652790976,0.775875230795005,AK090T
AK090T_82,3.98898404656427,0.252854352391991,0.84444405281039,AK090T
AK090T_83,4.06044301054642,0.349214162316363,0.871347944673834,AK090T
AK090T_84,3.76120011569356,0.14604041230743,0.725636387871365,AK090T
AK090T_85,3.49650756146648,0.146942714862455,0.693516989296585,AK090T
AK090T_86,3.63758615972639,0.256254166066185,0.747643990178766,AK090T
AK090T_87,3.98898404656427,0.306160189576598,0.815711867349148,AK090T
AK090T_88,3.80666248977032,0.282763792660305,0.868398942505787,AK090T
AK090T_89,3.85014760171006,0.489937301069883,0.915773651185447,AK090T
AK090T_90,3.89182029811063,0.353439401051972,0.782244243401745,AK090T
AK090T_91,3.78418963391826,0.282081892455854,0.871381789326375,AK090T
AK090T_92,3.55534806148941,0.149689107688657,0.823203361572409,AK090T
AK090T_93,3.78418963391826,0.445380535162235,0.951116810945991,AK090T
AK090T_94,3.91202300542815,0.114125668675157,0.870935003317172,AK090T
AK090T_95,3.71357206670431,0.117074547269654,0.717557220811691,AK090T
AK090T_96,3.76120011569356,0.341402642657258,0.856823102377407,AK090T
AK090T_97,3.49650756146648,0.265043411318214,0.731518525910231,AK090T
AK090T_98,3.61091791264422,0.427328504239822,0.91511206737219,AK090T
AK090T_99,3.58351893845611,0.32095128576177,0.84936860364551,AK090T
AK090T_100,3.80666248977032,0.123705984356862,0.810908112430498,AK090T
AK090T_101,3.58351893845611,0.364975683060919,0.809811713920842,AK090T
AK090T_102,3.8286413964891,0.0892050791178005,0.789010413752321,AK090T
AK090T_103,3.43398720448515,0.261034562274567,0.70593511457777,AK090T
AK090T_104,3.52636052461616,0.0602773262367298,0.62183631750323,AK090T
AK090T_105,3.89182029811063,0.571629934288558,0.926073230533262,AK090T
AK090T_106,3.55534806148941,0.294308020603987,0.81144750441148,AK090T
AK090T_107,3.71357206670431,0.364988782223535,0.847358362225289,AK090T
AK090T_108,3.55534806148941,0.409620526778864,0.945368153276209,AK090T
AK090T_109,3.43398720448515,0.433290526372461,0.88584808503961,AK090T
AK090T_110,3.58351893845611,0.489639125061912,0.946580683439292,AK090T
AK090T_111,3.52636052461616,0.464701381356096,0.887841376726938,AK090T
AK090T_112,3.80666248977032,0.149660995863442,0.826430009187598,AK090T
AK090T_113,3.55534806148941,0.343375153238851,0.887424322895368,AK090T
AK090T_114,3.46573590279973,0.407680545314358,0.93520797754985,AK090T
AK090T_115,3.55534806148941,0.545802110945791,0.876310554611793,AK090T
AK090T_116,3.46573590279973,0.457054673407141,0.914509969134735,AK090T
AK090T_117,3.43398720448515,0.444929726021105,0.89089295726675,AK090T
AK090T_118,3.58351893845611,0.547202965458118,0.916762288538508,AK090T
AK090T_119,3.55534806148941,0.460155390421411,0.967907262196572,AK090T
AK090T_120,3.46573590279973,0.370805826368086,0.905888431617371,AK090T
AL189T_1,6.84694313958538,0.284093114386128,0.865863165920658,AL189T
AL189T_2,6.57088296233958,0.254489204684604,0.835809523690977,AL189T
